Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
2003-08-31,Celta,Murcia,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
2003-09-03,Murcia,Santander,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
2003-09-14,Zaragoza,Murcia,3,0,H,3.0,0.0,H,,,,,,,,,,,,,
2003-09-21,Murcia,Ath Bilbao,2,2,D,1.0,1.0,D,,,,,,,,,,,,,
2003-09-28,Sevilla,Murcia,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
2003-10-05,Murcia,Albacete,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
2003-10-19,Osasuna,Murcia,2,1,H,1.0,1.0,D,,,,,,,,,,,,,
2003-10-26,Murcia,Ath Madrid,1,3,A,0.0,2.0,A,,,,,,,,,,,,,
2003-10-29,Barcelona,Murcia,3,0,H,1.0,0.0,H,,,,,,,,,,,,,
2003-11-01,Murcia,La Coruna,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2003-11-09,Mallorca,Murcia,4,1,H,3.0,1.0,H,,,,,,,,,,,,,
2003-11-23,Murcia,Valencia,2,2,D,1.0,1.0,D,,,,,,,,,,,,,
2003-11-29,Murcia,Sociedad,2,2,D,0.0,1.0,A,,,,,,,,,,,,,
2003-12-03,Betis,Murcia,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
2003-12-07,Murcia,Villarreal,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
2003-12-14,Valladolid,Murcia,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2003-12-21,Murcia,Malaga,1,2,A,1.0,1.0,D,,,,,,,,,,,,,
2004-01-03,Real Madrid,Murcia,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
2004-01-11,Murcia,Espanol,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
2004-01-17,Murcia,Celta,2,2,D,0.0,2.0,A,,,,,,,,,,,,,
2004-01-25,Santander,Murcia,3,2,H,1.0,1.0,D,,,,,,,,,,,,,
2004-02-01,Murcia,Zaragoza,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
2004-02-08,Ath Bilbao,Murcia,2,1,H,2.0,1.0,H,,,,,,,,,,,,,
2004-02-14,Murcia,Sevilla,1,3,A,0.0,1.0,A,,,,,,,,,,,,,
2004-02-22,Albacete,Murcia,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
2004-02-29,Murcia,Osasuna,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
2004-03-07,Ath Madrid,Murcia,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
2004-03-14,Murcia,Barcelona,0,2,A,0.0,1.0,A,,,,,,,,,,,,,
2004-03-20,La Coruna,Murcia,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
2004-03-28,Murcia,Mallorca,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
2004-04-04,Valencia,Murcia,2,0,H,0.0,0.0,D,,,,,,,,,,,,,
2004-04-11,Sociedad,Murcia,2,0,H,0.0,0.0,D,,,,,,,,,,,,,
2004-04-18,Murcia,Betis,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
2004-04-25,Villarreal,Murcia,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
2004-05-02,Murcia,Valladolid,2,1,H,1.0,1.0,D,,,,,,,,,,,,,
2004-05-09,Malaga,Murcia,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
2004-05-16,Murcia,Real Madrid,2,1,H,2.0,0.0,H,,,,,,,,,,,,,
2004-05-23,Espanol,Murcia,2,0,H,0.0,0.0,D,,,,,,,,,,,,,
2007-08-26,Murcia,Zaragoza,2,1,H,1.0,1.0,D,,8.0,5.0,6.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0
2007-09-01,Levante,Murcia,0,0,D,0.0,0.0,D,,3.0,7.0,0.0,2.0,21.0,32.0,4.0,4.0,5.0,3.0,0.0,0.0
2007-09-16,Murcia,Ath Madrid,1,1,D,0.0,1.0,A,,11.0,6.0,4.0,2.0,18.0,17.0,10.0,2.0,5.0,3.0,0.0,0.0
2007-09-23,Villarreal,Murcia,2,0,H,0.0,0.0,D,,7.0,9.0,4.0,2.0,14.0,23.0,6.0,4.0,1.0,4.0,0.0,0.0
2007-09-26,Murcia,Almeria,0,1,A,0.0,1.0,A,,7.0,11.0,3.0,6.0,22.0,18.0,5.0,9.0,3.0,2.0,2.0,0.0
2007-09-30,Valladolid,Murcia,1,4,A,0.0,1.0,A,,7.0,19.0,2.0,8.0,20.0,17.0,2.0,8.0,1.0,2.0,2.0,0.0
2007-10-07,Murcia,Betis,0,0,D,0.0,0.0,D,,14.0,10.0,5.0,2.0,15.0,23.0,9.0,3.0,0.0,4.0,0.0,0.0
2007-10-21,Getafe,Murcia,2,0,H,0.0,0.0,D,,6.0,7.0,2.0,2.0,18.0,21.0,5.0,6.0,2.0,3.0,1.0,0.0
2007-10-28,Murcia,Recreativo,1,0,H,0.0,0.0,D,,9.0,8.0,1.0,2.0,16.0,20.0,3.0,6.0,3.0,3.0,0.0,0.0
2007-11-01,Espanol,Murcia,0,0,D,0.0,0.0,D,,9.0,4.0,3.0,4.0,22.0,20.0,0.0,0.0,3.0,4.0,0.0,0.0
2007-11-04,Murcia,La Coruna,0,2,A,0.0,0.0,D,,12.0,12.0,5.0,3.0,12.0,16.0,5.0,7.0,0.0,2.0,0.0,0.0
2007-11-10,Valencia,Murcia,3,0,H,2.0,0.0,H,,13.0,13.0,5.0,2.0,26.0,21.0,5.0,5.0,4.0,4.0,0.0,0.0
2007-11-24,Murcia,Real Madrid,1,1,D,0.0,1.0,A,,15.0,7.0,3.0,2.0,26.0,16.0,4.0,1.0,6.0,2.0,0.0,1.0
2007-12-02,Mallorca,Murcia,1,1,D,0.0,1.0,A,,11.0,7.0,3.0,3.0,13.0,20.0,6.0,7.0,1.0,6.0,0.0,0.0
2007-12-09,Sevilla,Murcia,3,1,H,1.0,0.0,H,,17.0,12.0,7.0,1.0,26.0,25.0,9.0,7.0,2.0,3.0,0.0,0.0
2007-12-16,Murcia,Santander,2,1,H,0.0,0.0,D,,12.0,9.0,4.0,3.0,16.0,16.0,9.0,6.0,3.0,3.0,0.0,0.0
2007-12-23,Ath Bilbao,Murcia,1,1,D,1.0,0.0,H,,14.0,19.0,4.0,4.0,20.0,21.0,4.0,3.0,4.0,3.0,1.0,0.0
2008-01-06,Murcia,Osasuna,2,0,H,0.0,0.0,D,,12.0,12.0,6.0,2.0,22.0,14.0,7.0,4.0,2.0,1.0,0.0,0.0
2008-01-12,Barcelona,Murcia,4,0,H,1.0,0.0,H,,18.0,9.0,10.0,3.0,13.0,9.0,4.0,5.0,3.0,1.0,0.0,0.0
2008-01-20,Zaragoza,Murcia,3,1,H,1.0,0.0,H,,13.0,11.0,7.0,3.0,24.0,18.0,5.0,9.0,2.0,0.0,0.0,0.0
2008-01-27,Murcia,Levante,2,3,A,0.0,0.0,D,,12.0,10.0,4.0,7.0,11.0,23.0,6.0,3.0,0.0,2.0,1.0,0.0
2008-02-03,Ath Madrid,Murcia,1,1,D,0.0,0.0,D,,13.0,9.0,4.0,4.0,20.0,30.0,4.0,3.0,3.0,4.0,0.0,0.0
2008-02-09,Murcia,Villarreal,0,1,A,0.0,0.0,D,,8.0,8.0,2.0,1.0,13.0,22.0,6.0,3.0,2.0,4.0,0.0,0.0
2008-02-17,Almeria,Murcia,1,0,H,1.0,0.0,H,,10.0,12.0,3.0,3.0,33.0,17.0,6.0,7.0,6.0,4.0,0.0,0.0
2008-02-24,Murcia,Valladolid,0,1,A,0.0,1.0,A,,7.0,9.0,1.0,2.0,25.0,20.0,8.0,1.0,2.0,1.0,0.0,0.0
2008-03-02,Betis,Murcia,4,0,H,2.0,0.0,H,,16.0,13.0,9.0,6.0,16.0,12.0,8.0,3.0,1.0,2.0,0.0,0.0
2008-03-09,Murcia,Getafe,0,3,A,0.0,0.0,D,,8.0,5.0,3.0,3.0,18.0,13.0,6.0,1.0,4.0,1.0,0.0,0.0
2008-03-15,Recreativo,Murcia,4,2,H,1.0,1.0,D,,16.0,10.0,10.0,4.0,29.0,22.0,3.0,3.0,4.0,5.0,0.0,1.0
2008-03-23,Murcia,Espanol,4,0,H,1.0,0.0,H,,15.0,8.0,6.0,1.0,17.0,15.0,5.0,2.0,3.0,1.0,0.0,0.0
2008-03-30,La Coruna,Murcia,3,1,H,1.0,1.0,D,,16.0,8.0,7.0,3.0,14.0,16.0,7.0,2.0,2.0,2.0,0.0,0.0
2008-04-06,Murcia,Valencia,1,0,H,1.0,0.0,H,,6.0,3.0,2.0,1.0,2.0,2.0,0.0,3.0,5.0,3.0,0.0,0.0
2008-04-13,Real Madrid,Murcia,1,0,H,0.0,0.0,D,,17.0,6.0,4.0,0.0,15.0,29.0,3.0,0.0,4.0,3.0,1.0,0.0
2008-04-20,Murcia,Mallorca,1,4,A,0.0,2.0,A,,6.0,9.0,3.0,5.0,3.0,2.0,1.0,3.0,4.0,1.0,0.0,0.0
2008-04-26,Murcia,Sevilla,0,0,D,0.0,0.0,D,,12.0,13.0,4.0,3.0,21.0,15.0,3.0,5.0,4.0,2.0,0.0,0.0
2008-05-04,Santander,Murcia,3,2,H,1.0,2.0,A,,12.0,7.0,2.0,2.0,16.0,20.0,1.0,5.0,1.0,0.0,0.0,2.0
2008-05-07,Murcia,Ath Bilbao,1,2,A,1.0,1.0,D,,7.0,6.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0
2008-05-11,Osasuna,Murcia,2,1,H,1.0,0.0,H,,17.0,9.0,6.0,3.0,18.0,14.0,9.0,6.0,3.0,4.0,0.0,0.0
2008-05-17,Murcia,Barcelona,3,5,A,1.0,3.0,A,,21.0,16.0,9.0,9.0,14.0,12.0,10.0,6.0,2.0,1.0,0.0,0.0
